isotropy,ldi
0.11347285462482055,0.5061985475537798
0.0216901359406588,0.1423278166227766
0.07110137781163958,0.04247243105912582
0.2465371274812298,0.18964553664470948
0.1500591942094846,0.635742109101066
0.13995033389752368,0.4761025028611257
0.47145945782340437,0.5583730469661148
0.08851462044997128,0.4262046730848984
0.1828144829258337,0.481244160568005
0.20831941563695008,0.1712226858194194
0.12245859223099355,0.09982226345736968
0.40618300428771503,0.8257818051301957
0.053868868978161774,0.22001632809425298
0.3213820879922323,0.21169541041829248
0.474159577604849,0.5022093905248307
0.44629433071777164,0.6549719874191634
0.23646565988140264,0.33817725992610265
0.06432004011958849,0.0640972761593999
0.4427779975742104,0.4268401128179263
0.48721934708638337,0.48428217198628837
0.09964225603187064,0.04951168771471573
0.23221666745811792,0.5734044036502596
0.432068618613229,0.6554733656314489
0.2554820587794622,0.965049300401778
0.3132193475739861,0.39172393939584743
0.2139237769002652,0.6242590851438693
0.2358105407994942,0.22061162756081173
0.3692794706405523,0.7777750156064528
0.2270312279836492,0.3908608253928219
0.535034963643237,0.185162697473998
0.10452503882759892,0.5612335349563312
0.04413996062734237,0.036705671479030866
0.1358601946618826,0.23376842739633621
0.024955078810504513,0.019163871436414317
0.2434606208044618,0.9756239545107278
0.4247662188717038,0.660168585286355
0.4188611814915467,0.7631352188739225
0.5379584231361096,0.43407885327109985
0.17382398173232783,0.1619134221405359
0.15170120287647143,0.80778456218134
0.45378615332052197,0.5840462278505445
0.03738794028089847,0.042296654150236875
0.017544213763170925,0.0978765810948286
0.08285319662177872,0.38341961222756177
0.16553114674923147,0.7394070782052805
0.45540134342986527,0.21845162583561525
0.2198747362270263,0.23570898173143737
0.1307157907424232,0.13143989218771068
0.02433035148151561,0.15503294763708067
0.35455989741241867,0.8024308056831799
0.13006114654751127,0.12307668493010825
0.4799303716279764,0.31805746338688295
0.11734415644509563,0.272234742810223
0.3381645401075269,0.5070379543913841
0.3831041608463647,0.2605444510908889
0.42714420614026005,0.2747639645056449
0.09581408090029607,0.3697176154802223
0.5785276084010313,0.2804684292200935
0.12200340820768572,0.57745066927474
0.3810788461083991,0.46623158399717807
0.2239461666379651,0.15863690458725918
0.14528820051447036,0.6746518012133127
0.006721297676586862,0.006170336389062465
0.23657433609043366,0.18916155648945798
0.17236773280805992,0.7398794454870852
0.41359061891175297,0.6459206968478705
0.06796745002214917,0.05506548527058216
0.1944861443520482,0.21289561327144205
0.3823185549480657,0.7524514085919253
0.16296132499500224,0.14385558989948466
0.15091330652768903,0.6143720415883266
0.08654055472094456,0.3151693688620194
0.1869089026688977,0.18192404378430238
0.4691002627940008,0.27132666507875264
0.4128395531505516,0.7529368648072622
0.232114385753501,0.9051215459758583
0.3537453330497449,0.8943368645370542
0.11221637448436347,0.09692737283884205
0.3854515484728277,0.2678266665806634
0.1914663665783962,0.5911171767185858
0.2651925094589359,0.6083059284342416
0.48450110652760064,0.500900842065165
0.19339489036569726,0.16024884704014206
0.07165832802787156,0.04542758358372042
0.23812929771481353,0.5824981833354529
0.2288769589848005,0.3156828721936773
0.45860674181666194,0.4455471410275769
0.11954708744216819,0.314135625647572
0.5369891191337993,0.3981377888189931
0.1191325177452313,0.5289488791214784
0.29378936545898665,0.8709319775852374
0.1471655327166985,0.12045232929358235
0.11498509462050269,0.5217944845899035
0.12520491855878862,0.4517090868981622
0.26388990892666875,0.4490911814222327
0.24519203691691666,0.06012637286327746
0.2665498665544821,0.8325708160906012
0.34967062700636753,0.7303212609108308
0.18700311097435499,0.31024489204787703
0.14129603439480307,0.49302007369227346
0.3744216763756864,0.8510202841555208
0.5086301612251761,0.4964419661054256
0.35022421294738415,0.4291616303359351
0.23638445566406052,0.9446813542979212
0.09939207209795065,0.38289608899935623
0.10514431408638486,0.2875156818543838
0.1298540693213383,0.29192529080862223
0.020341679978475545,0.09524032680427057
0.40774950810695754,0.6646224976675887
0.2213556900862487,0.082270260542184
0.311555031878358,0.2633916186424357
0.4555923736924501,0.15440913513121005
0.11998332398269711,0.6916760415427539
0.10573480303587633,0.36046065901756086
0.12115101347117839,0.44850373652967346
0.3926933757308334,0.16237029747482548
0.30347978387047453,0.9034989625486738
0.28049633721527245,0.09980328665666056
0.21002741003812722,0.5422637406872455
0.13421979043252286,0.4627042018429155
0.5375188612115537,0.3007808755428263
0.03353285065250765,0.04193498793081152
0.23304822778302317,0.9267481304785008
0.18991924345896882,0.5735551637382378
0.4578770742455388,0.6301483481289236
0.40902507380743486,0.5390748329076248
0.0888914477106931,0.19976196535451068
0.4592083311865324,0.622975169689165
0.36840317017881663,0.17041746159352142
0.36614134691675077,0.19737269985755726
0.2017453567684179,0.7001125858960318
0.023626556844312,0.02074161234572844
0.09513401756217522,0.47721954565630775
0.5718603798009926,0.3916260626665431
0.3257103414243246,0.38271820533999507
0.30312068039170387,0.6905467593219591
0.06600021838143919,0.31424766924692593
0.5750962490146522,0.48376016576390646
0.23148786981336902,0.3223080797397751
0.06883775350553788,0.3785766132418827
0.20681402220835715,0.7665590599839055
0.6506417521359529,0.33028488536681627
0.038304852943008255,0.032553363948502674
0.10457245146798644,0.4639565766029462
0.41893761173028465,0.19857212349167772
0.101754168768273,0.24172868992033508
0.21344136538706787,0.2329968876856473
0.21878374786326113,0.31529987202156473
0.14000385710055405,0.3703377105965498
0.4683034956262784,0.5986591744931967
0.45864747796332406,0.7171824157677092
0.4468747244677197,0.6063911097964482
0.09398469841742216,0.42067709162174
0.31057325235055855,0.43947709055479095
0.15682326770117566,0.0685572729934889
0.30967565172034617,0.13288027371890995
0.05214066140244324,0.33879573637050037
0.2645514082795236,0.3073533877067564
0.37411081072679303,0.3194912989522533
0.4813190771568819,0.5467770357114723
0.15102271086328797,0.3248563927210494
0.3312274447188839,0.7037736232581581
0.2562698723897553,0.2296965299440275
0.4140905183805035,0.23870618949074965
0.11990777642623764,0.06855556859987033
0.029588509361058803,0.02332119618694692
0.14034600267979186,0.18724550381667124
0.46577603778196347,0.591208998198493
0.18603332573944673,0.13256283704114627
0.2811436027523389,0.6801382486453684
0.06667447839633557,0.34464969841466886
0.29255443309920526,0.9110046472018574
0.3285819665409551,0.5442826231246908
0.5561742312330893,0.34299413836887505
0.13372522001938894,0.13724868822292002
0.3916334773107422,0.6510601255874672
0.045235290168015925,0.02675460024166807
0.2407347897890379,0.35549752591957906
0.1635152463934998,0.15652243826921844
0.4967452605106037,0.4247672080010937
0.08367893995244655,0.060561652416878685
0.10260554447587909,0.07191804042380323
0.10071721721874806,0.10725036061554323
0.29956152426745025,0.7929326426224499
0.38564836712732314,0.7846861455421896
0.21320198751985187,0.40814839825989757
0.42806059245405975,0.4158835836922303
0.33535751153429194,0.3672324553572263
0.10383525614415845,0.35202069327102364
0.14204102065813612,0.15758880966530972
0.13299563978371579,0.5882267463816314
0.0761995322476192,0.044090097052783966
0.27153318909777285,0.2906048066223377
0.03562002154980517,0.02833446189531665
0.4579885664671648,0.296620661110037
0.10594814761260818,0.5320844874973126
0.3672527719223169,0.7635943661417751
0.552940503496702,0.5303530357210768
0.21442065456023893,0.4700809061439701
0.1546950942168877,0.49453477737647894
0.4478424826549698,0.5997311919521371
0.15062595927813538,0.5009267631960227
0.07024085028077194,0.1314527754885837
0.05534185374402759,0.13926249922448317
0.4902123892587947,0.4050189691989296
0.06855746459824319,0.06533300393672763
0.21009759205996073,0.8675257792061304
0.3535754265194032,0.13391129965157758
0.0004000962459096503,0.00022958125696414625
0.04469352287677596,0.2756612112576131
0.10763149484263827,0.08949911001778016
0.17287783948940227,0.19563239964477297
0.21897474761986718,0.4325945809362977
0.4789832453738559,0.3616320100510313
0.3538740872218107,0.20889464833394683
0.05586945455190151,0.3620897317952232
0.16953079110761646,0.22983509486680373
0.3276809881937197,0.11580791661520279
0.061293229677873574,0.3620555511877393
0.26789466839170917,0.8189334936366192
0.3276059106243828,0.4060041241895661
0.1724015051956502,0.19977710093901344
0.14763439871926537,0.42810176130918154
0.4310842922752674,0.16121629550533825
0.5092805379209582,0.41503561143269996
0.03069024624852799,0.05468148167662674
0.3325964835951179,0.9128012317981985
0.08047709996482617,0.059074241845101044
0.13261385762633687,0.3048393287760191
0.20051236227917127,0.5931710231404868
0.42560903561451874,0.5360279928860826
0.06393909791741026,0.3360486933648092
0.08329047248907914,0.10331439009959431
0.40693029424612204,0.6299065462719978
0.3899327131398219,0.1511333092539257
0.13457122437779512,0.1386983953719998
0.09699532283934541,0.5727679561718837
0.052891607540413124,0.04036541972985547
0.2917333321486163,0.8878115887537255
0.15192854572237058,0.12149765618446208
0.12298515846249737,0.13165983141459203
0.03098915484379657,0.02373239558193765
0.07371380313632303,0.09992648714086848
0.3042657055485054,0.4100878122607021
0.044124409639743456,0.1420338279430896
0.6177548711891516,0.29253647942663524
0.3157926712060481,0.9299606584855258
0.35378174474486446,0.775241280814962
0.10468829834851916,0.527197799570152
0.4209862589121555,0.46430130469965186
0.16592474800634932,0.8513319562029134
0.32160224553428973,0.3830233149432426
0.18000352897887092,0.13514195037285623
0.5681556349973245,0.45180066223400017
0.5300402751484469,0.5694552164517307
0.34912337703725965,0.7405586046530565
0.23581486897577503,0.4877449651575052
0.3016920305440184,0.49935331313657455
0.04931854591712692,0.1621275210209113
0.4226390523699205,0.23898377318856096
0.47717424037585315,0.40833099052185856
0.1287583526702459,0.1476784409337516
0.16776022832407764,0.22995676490104466
0.2845253475393598,0.9784607546869638
